Time:                  45, A: -128, B: -128, Expected: 16384 Got:-16384 
Time:                6165, A: -127, B: -128, Expected: 16256 Got:-16256 
Time:               12285, A: -126, B: -128, Expected: 16128 Got:-16128 
Time:               18405, A: -125, B: -128, Expected: 16000 Got:-16000 
Time:               24525, A: -124, B: -128, Expected: 15872 Got:-15872 
Time:               30645, A: -123, B: -128, Expected: 15744 Got:-15744 
Time:               36765, A: -122, B: -128, Expected: 15616 Got:-15616 
Time:               42885, A: -121, B: -128, Expected: 15488 Got:-15488 
Time:               49005, A: -120, B: -128, Expected: 15360 Got:-15360 
Time:               55125, A: -119, B: -128, Expected: 15232 Got:-15232 
Time:               61245, A: -118, B: -128, Expected: 15104 Got:-15104 
Time:               67365, A: -117, B: -128, Expected: 14976 Got:-14976 
Time:               73485, A: -116, B: -128, Expected: 14848 Got:-14848 
Time:               79605, A: -115, B: -128, Expected: 14720 Got:-14720 
Time:               85725, A: -114, B: -128, Expected: 14592 Got:-14592 
Time:               91845, A: -113, B: -128, Expected: 14464 Got:-14464 
Time:               97965, A: -112, B: -128, Expected: 14336 Got:-14336 
Time:              104085, A: -111, B: -128, Expected: 14208 Got:-14208 
Time:              110205, A: -110, B: -128, Expected: 14080 Got:-14080 
Time:              116325, A: -109, B: -128, Expected: 13952 Got:-13952 
Time:              122445, A: -108, B: -128, Expected: 13824 Got:-13824 
Time:              128565, A: -107, B: -128, Expected: 13696 Got:-13696 
Time:              134685, A: -106, B: -128, Expected: 13568 Got:-13568 
Time:              140805, A: -105, B: -128, Expected: 13440 Got:-13440 
Time:              146925, A: -104, B: -128, Expected: 13312 Got:-13312 
Time:              153045, A: -103, B: -128, Expected: 13184 Got:-13184 
Time:              159165, A: -102, B: -128, Expected: 13056 Got:-13056 
Time:              165285, A: -101, B: -128, Expected: 12928 Got:-12928 
Time:              171405, A: -100, B: -128, Expected: 12800 Got:-12800 
Time:              177525, A:  -99, B: -128, Expected: 12672 Got:-12672 
Time:              183645, A:  -98, B: -128, Expected: 12544 Got:-12544 
Time:              189765, A:  -97, B: -128, Expected: 12416 Got:-12416 
Time:              195885, A:  -96, B: -128, Expected: 12288 Got:-12288 
Time:              202005, A:  -95, B: -128, Expected: 12160 Got:-12160 
Time:              208125, A:  -94, B: -128, Expected: 12032 Got:-12032 
Time:              214245, A:  -93, B: -128, Expected: 11904 Got:-11904 
Time:              220365, A:  -92, B: -128, Expected: 11776 Got:-11776 
Time:              226485, A:  -91, B: -128, Expected: 11648 Got:-11648 
Time:              232605, A:  -90, B: -128, Expected: 11520 Got:-11520 
Time:              238725, A:  -89, B: -128, Expected: 11392 Got:-11392 
Time:              244845, A:  -88, B: -128, Expected: 11264 Got:-11264 
Time:              250965, A:  -87, B: -128, Expected: 11136 Got:-11136 
Time:              257085, A:  -86, B: -128, Expected: 11008 Got:-11008 
Time:              263205, A:  -85, B: -128, Expected: 10880 Got:-10880 
Time:              269325, A:  -84, B: -128, Expected: 10752 Got:-10752 
Time:              275445, A:  -83, B: -128, Expected: 10624 Got:-10624 
Time:              281565, A:  -82, B: -128, Expected: 10496 Got:-10496 
Time:              287685, A:  -81, B: -128, Expected: 10368 Got:-10368 
Time:              293805, A:  -80, B: -128, Expected: 10240 Got:-10240 
Time:              299925, A:  -79, B: -128, Expected: 10112 Got:-10112 
Time:              306045, A:  -78, B: -128, Expected:  9984 Got: -9984 
Time:              312165, A:  -77, B: -128, Expected:  9856 Got: -9856 
Time:              318285, A:  -76, B: -128, Expected:  9728 Got: -9728 
Time:              324405, A:  -75, B: -128, Expected:  9600 Got: -9600 
Time:              330525, A:  -74, B: -128, Expected:  9472 Got: -9472 
Time:              336645, A:  -73, B: -128, Expected:  9344 Got: -9344 
Time:              342765, A:  -72, B: -128, Expected:  9216 Got: -9216 
Time:              348885, A:  -71, B: -128, Expected:  9088 Got: -9088 
Time:              355005, A:  -70, B: -128, Expected:  8960 Got: -8960 
Time:              361125, A:  -69, B: -128, Expected:  8832 Got: -8832 
Time:              367245, A:  -68, B: -128, Expected:  8704 Got: -8704 
Time:              373365, A:  -67, B: -128, Expected:  8576 Got: -8576 
Time:              379485, A:  -66, B: -128, Expected:  8448 Got: -8448 
Time:              385605, A:  -65, B: -128, Expected:  8320 Got: -8320 
Time:              391725, A:  -64, B: -128, Expected:  8192 Got: -8192 
Time:              397845, A:  -63, B: -128, Expected:  8064 Got: -8064 
Time:              403965, A:  -62, B: -128, Expected:  7936 Got: -7936 
Time:              410085, A:  -61, B: -128, Expected:  7808 Got: -7808 
Time:              416205, A:  -60, B: -128, Expected:  7680 Got: -7680 
Time:              422325, A:  -59, B: -128, Expected:  7552 Got: -7552 
Time:              428445, A:  -58, B: -128, Expected:  7424 Got: -7424 
Time:              434565, A:  -57, B: -128, Expected:  7296 Got: -7296 
Time:              440685, A:  -56, B: -128, Expected:  7168 Got: -7168 
Time:              446805, A:  -55, B: -128, Expected:  7040 Got: -7040 
Time:              452925, A:  -54, B: -128, Expected:  6912 Got: -6912 
Time:              459045, A:  -53, B: -128, Expected:  6784 Got: -6784 
Time:              465165, A:  -52, B: -128, Expected:  6656 Got: -6656 
Time:              471285, A:  -51, B: -128, Expected:  6528 Got: -6528 
Time:              477405, A:  -50, B: -128, Expected:  6400 Got: -6400 
Time:              483525, A:  -49, B: -128, Expected:  6272 Got: -6272 
Time:              489645, A:  -48, B: -128, Expected:  6144 Got: -6144 
Time:              495765, A:  -47, B: -128, Expected:  6016 Got: -6016 
Time:              501885, A:  -46, B: -128, Expected:  5888 Got: -5888 
